Date,ConnType,ConnDetails,Lat,Lon,Download,DownloadBytes,Upload,UploadBytes,Latency,ServerName,InternalIp,ExternalIp,Is SpeedTest VPN
2023-02-06 15:00,Cell,"Verizon NRNSA",31.185268,-81.487619,21284,34416608,6557,5969088,54,"Alma, GA","100.92.154.128","174.195.39.26",No
2023-02-06 14:56,Cell,"Verizon NRNSA",31.185148,-81.487510,49261,74110802,7636,12963505,41,"Alma, GA","100.92.154.128","174.195.39.26",No
2023-02-04 16:15,Cell,"Verizon NRNSA",31.203379,-81.481495,72870,99006234,9825,16664736,34,"Alma, GA","100.86.126.57","174.209.103.174",No
2023-01-30 23:29,Wi-Fi,"SSID: Eero",31.138534,-81.383785,176576,296614040,39171,52682656,16,"Jacksonville, FL","10.0.4.112","67.187.47.242",No
2023-01-22 13:36,Cell,"AT&T LTE",31.180437,-81.347002,133716,207198844,52274,78060803,28,"Gainesville, FL","2600:381:b30a:421f:47d:cb86:fa46:3027","2600:381:b30a:421f:47d:cb86:fa46:3027",No
2023-01-19 17:36,Cell,"Verizon LTE",31.109534,-81.515227,64802,87586503,917,2098008,43,"Jacksonville, FL","100.81.205.241","174.209.100.126",No
2023-01-19 17:34,Cell,"Verizon LTE",31.120985,-81.482803,613592,697346425,1685,2542464,38,"Jacksonville, FL","100.81.205.241","174.209.100.126",No
2023-01-12 17:02,Cell,"AT&T NRNSA",31.131590,-81.593300,57697,69459426,3287,5527535,31,"Lyons, GA","10.213.189.75","107.117.179.81",No
2023-01-08 21:24,Cell,"Verizon NRNSA",31.130996,-81.479251,667894,669030351,35209,58987972,28,"Jacksonville, FL","100.88.194.213","174.209.106.70",No
2023-01-08 20:40,Cell,"Verizon NRNSA",30.512817,-81.634519,372725,517987667,1385,3086208,25,"Kissimmee, FL","2600:1006:b183:124a:9d97:e460:137d:3f7f","2600:1006:b183:124a:9d97:e460:137d:3f7f",No
2023-01-08 20:05,Cell,"Verizon NRNSA",30.245003,-81.587914,24062,40444520,12,20000,31,"Kissimmee, FL","2600:1006:b183:124a:9d97:e460:137d:3f7f","2600:1006:b183:124a:9d97:e460:137d:3f7f",No
2023-01-04 07:44,Cell,"Verizon NRNSA",31.193240,-81.476738,4030,4676700,1074,1832832,64,"Jacksonville, FL","100.93.250.65","174.209.196.71",No
2023-01-03 11:16,Cell,"Verizon LTE",31.138549,-81.383693,87639,131678740,15907,16590272,39,"Alma, GA","100.66.180.188","174.209.203.96",No
2023-01-01 12:33,Cell,"Verizon NRNSA",30.630966,-81.654137,260303,439632801,9742,16119840,45,"Alma, GA","100.74.133.171","174.209.201.221",No
2022-12-25 22:01,Cell,"AT&T NRNSA",31.138639,-81.383698,275504,425511652,30750,53043480,27,"Jacksonville, FL","10.233.44.219","107.117.179.161",No
2022-12-25 12:38,Cell,"Verizon NRNSA",31.463553,-83.529892,383691,548292925,7747,12970969,28,"Atlanta, GA","2600:1005:b14c:839a:6989:43da:986b:48dc","2600:1005:b14c:839a:6989:43da:986b:48dc",No
2022-12-25 10:59,Cell,"Verizon LTE",31.526932,-83.608556,54014,68400432,4593,7827696,44,"Atlanta, GA","2600:1005:b14c:839a:6989:43da:986b:48dc","2600:1005:b14c:839a:6989:43da:986b:48dc",No
2022-12-25 10:51,Cell,"Verizon NRNSA",31.463671,-83.530032,185467,293256428,796,1351565,27,"Atlanta, GA","2600:1005:b153:c9cf:595f:5769:8563:e1dd","2600:1005:b153:c9cf:595f:5769:8563:e1dd",No
2022-12-25 10:50,Cell,"Verizon NRNSA",31.463195,-83.521918,388140,695015471,19734,33399817,28,"Atlanta, GA","2600:1005:b153:c9cf:595f:5769:8563:e1dd","2600:1005:b153:c9cf:595f:5769:8563:e1dd",No
2022-12-24 22:39,Cell,"Verizon NRNSA",31.465583,-83.512251,466563,821584520,2209,3166200,29,"Atlanta, GA","2600:1005:b153:c9cf:6c9c:f506:44a1:8759","2600:1005:b153:c9cf:6c9c:f506:44a1:8759",No
2022-12-24 18:54,Cell,"Verizon NRNSA",31.465647,-83.512391,325628,426761794,458,823096,30,"Atlanta, GA","2600:1005:b153:c9cf:6c9c:f506:44a1:8759","2600:1005:b153:c9cf:6c9c:f506:44a1:8759",No
2022-12-24 18:14,Cell,"Verizon NRNSA",31.465346,-83.511758,440843,756182921,6128,9828784,41,"Atlanta, GA","2600:1005:b153:c9cf:6c9c:f506:44a1:8759","2600:1005:b153:c9cf:6c9c:f506:44a1:8759",No
